point,point_tag,model,n,num_ctx,pad_words,reps,reps_ok,statuses,all_on_gpu,vram_gb,cpu_gb,total_gb,gpu_pct,cpu_pct,vram_total_gb,cpu_total_gb,load_sec,ctx_reported,wall_time_sec,ttft_thinking_sec,ttft_content_sec,tokens_per_sec,batch_tokens_per_sec,ttft_thinking_sec_min,ttft_thinking_sec_max,ttft_content_sec_min,ttft_content_sec_max,point_elapsed_sec,output_tokens,thinking_chunks,content_chunks,load_sec_std,vram_gb_std,wall_time_sec_std,ttft_content_sec_std,tokens_per_sec_std,batch_tokens_per_sec_std,requests_ok,requests_failed,error,KVQ,NP,source_file
1,qwen3-n10-c16000+qwen3-n10-c16000,qwen3:32b-q8,10,16000,0,3,3,ok,True,77.1,0.0,77.1,100.0,0.0,254.4,0.0,2.1,16000.0,19.6,1.2,17.5,23.1,160.5,0.9,1.3,9.5,28.2,34.5,4206.3,378.4,37.2,3.6,0.0,1.4,1.4,1.6,22.3,30,0,,KVQ8,NP10,ollama/KVQ8/NP10/qwen3-235b-a22b-q4_k_m_qwen3-32b-q8/results_avg.csv
2,qwen3-n10-c16000+qwen3-n10-c40000,qwen3-235b-a22b:q4_k_m,10,16000,0,3,3,ok,True,177.3,0.0,177.3,100.0,0.0,323.0,0.0,8.8,16000.0,30.7,1.6,28.7,13.4,110.2,1.5,1.8,18.9,39.2,36.3,3981.0,353.3,39.8,15.3,0.0,1.6,1.4,0.4,7.5,30,0,,KVQ8,NP10,ollama/KVQ8/NP10/qwen3-235b-a22b-q4_k_m_qwen3-32b-q8/results_avg.csv
2,qwen3-n10-c16000+qwen3-n10-c40000,qwen3:32b-q8,10,40000,0,3,3,ok,True,145.8,0.0,145.8,100.0,0.0,323.0,0.0,4.9,40000.0,19.2,1.1,17.5,24.0,173.5,0.9,1.2,11.5,27.1,36.3,4350.3,392.1,37.9,8.4,0.0,1.5,1.6,0.4,4.6,30,0,,KVQ8,NP10,ollama/KVQ8/NP10/qwen3-235b-a22b-q4_k_m_qwen3-32b-q8/results_avg.csv
3,qwen3-n10-c40000+qwen3-n10-c16000,qwen3-235b-a22b:q4_k_m,10,40000,0,3,3,ok,True,225.2,0.0,225.2,100.0,0.0,301.9,0.0,9.0,40000.0,30.1,1.5,28.3,15.5,114.9,1.4,1.6,17.0,49.9,40.9,4648.7,422.3,37.6,15.6,0.0,2.9,2.8,1.2,8.7,30,0,,KVQ8,NP10,ollama/KVQ8/NP10/qwen3-235b-a22b-q4_k_m_qwen3-32b-q8/results_avg.csv
3,qwen3-n10-c40000+qwen3-n10-c16000,qwen3:32b-q8,10,16000,0,3,3,ok,True,76.7,0.0,76.7,100.0,0.0,301.9,0.0,2.3,16000.0,19.0,1.1,17.1,23.7,183.5,0.9,1.3,9.5,28.5,40.9,4206.3,379.3,36.4,4.0,0.0,2.3,2.0,2.3,35.4,30,0,,KVQ8,NP10,ollama/KVQ8/NP10/qwen3-235b-a22b-q4_k_m_qwen3-32b-q8/results_avg.csv
4,qwen3-n10-c40000+qwen3-n10-c40000,qwen3-235b-a22b:q4_k_m,10,40000,0,3,3,ok,True,225.2,0.0,225.2,100.0,0.0,370.9,0.0,9.8,40000.0,31.4,1.5,29.5,14.1,112.4,1.4,1.6,16.9,40.2,38.5,4327.3,388.5,39.3,16.9,0.0,1.7,1.8,0.1,3.6,30,0,,KVQ8,NP10,ollama/KVQ8/NP10/qwen3-235b-a22b-q4_k_m_qwen3-32b-q8/results_avg.csv
4,qwen3-n10-c40000+qwen3-n10-c40000,qwen3:32b-q8,10,40000,0,3,3,ok,True,145.8,0.0,145.8,100.0,0.0,370.9,0.0,4.7,40000.0,19.6,1.1,17.9,24.0,185.8,0.8,1.3,13.1,24.1,38.5,4439.7,400.9,38.1,8.2,0.0,1.1,1.1,0.3,3.8,30,0,,KVQ8,NP10,ollama/KVQ8/NP10/qwen3-235b-a22b-q4_k_m_qwen3-32b-q8/results_avg.csv
1,qwen3-n20-c16000,qwen3-235b-a22b:q4_k_m,20,16000,0,3,3,ok,True,270.5,0.0,270.5,100.0,0.0,270.5,0.0,9.8,16000.0,44.3,2.2,41.1,9.7,152.5,1.5,2.8,22.1,59.2,54.4,8168.3,364.3,39.1,16.9,0.0,6.9,6.4,1.8,25.3,60,0,,KVQ8,NP40,ollama/KVQ8/NP40/qwen3-235b-a22b-q4_k_m/results_avg.csv
2,qwen3-n20-c40000,qwen3-235b-a22b:q4_k_m,20,40000,0,3,3,ok,True,457.4,0.0,457.4,100.0,0.0,457.4,0.0,10.1,40000.0,45.2,2.5,42.2,10.3,156.9,1.5,3.4,19.0,59.3,56.6,8888.0,401.8,37.6,17.4,0.0,3.4,3.2,1.6,15.7,60,0,,KVQ8,NP40,ollama/KVQ8/NP40/qwen3-235b-a22b-q4_k_m/results_avg.csv
3,qwen3-n40-c16000,qwen3-235b-a22b:q4_k_m,40,16000,0,3,3,ok,True,270.5,0.0,270.5,100.0,0.0,270.5,0.0,9.0,16000.0,55.0,3.3,50.2,7.5,218.2,2.6,3.7,28.0,74.2,72.0,15707.0,349.4,38.3,15.7,0.0,1.2,1.2,0.1,4.0,120,0,,KVQ8,NP40,ollama/KVQ8/NP40/qwen3-235b-a22b-q4_k_m/results_avg.csv
4,qwen3-n40-c40000,qwen3-235b-a22b:q4_k_m,40,40000,0,3,3,ok,True,457.4,0.0,457.4,100.0,0.0,457.4,0.0,9.0,40000.0,56.7,3.5,52.1,7.6,215.0,2.5,4.2,27.8,85.7,76.8,16451.0,367.6,38.6,15.6,0.0,3.6,3.6,0.0,10.3,120,0,,KVQ8,NP40,ollama/KVQ8/NP40/qwen3-235b-a22b-q4_k_m/results_avg.csv
1,qwen3-n40-c16000+qwen3-n40-c16000,qwen3-235b-a22b:q4_k_m,40,16000,0,1,1,ok,True,270.5,0.0,270.5,100.0,0.0,478.5,0.0,28.9,16000.0,69.0,3.6,63.7,5.9,180.5,3.5,3.6,40.0,87.0,87.5,15792.0,351.5,38.3,0.0,0.0,0.0,0.0,0.0,0.0,40,0,,KVQ8,NP40,ollama/KVQ8/NP40/qwen3-235b-a22b-q4_k_m_qwen3-32b-q8/results_avg.csv
1,qwen3-n40-c16000+qwen3-n40-c16000,qwen3:32b-q8,40,16000,0,1,1,ok,True,208.0,0.0,208.0,100.0,0.0,478.5,0.0,13.9,16000.0,32.2,2.4,28.7,14.5,379.7,2.4,2.5,17.9,44.9,87.5,17362.0,391.3,37.8,0.0,0.0,0.0,0.0,0.0,0.0,40,0,,KVQ8,NP40,ollama/KVQ8/NP40/qwen3-235b-a22b-q4_k_m_qwen3-32b-q8/results_avg.csv
2,qwen3-n40-c16000+qwen3-n40-c40000,qwen3-235b-a22b:q4_k_m,40,16000,0,1,0,not_loaded,False,0.0,0.0,0.0,,,462.0,0.0,26.7,,,,,,,,,,,,,,,0.0,0.0,,,,,0,0,not_resident: qwen3-235b-a22b:q4_k_m,KVQ8,NP40,ollama/KVQ8/NP40/qwen3-235b-a22b-q4_k_m_qwen3-32b-q8/results_avg.csv
2,qwen3-n40-c16000+qwen3-n40-c40000,qwen3:32b-q8,40,40000,0,1,0,not_run,False,462.0,0.0,462.0,100.0,0.0,462.0,0.0,18.7,40000.0,,,,,,,,,,,,,,0.0,0.0,,,,,0,0,not_resident: qwen3-235b-a22b:q4_k_m,KVQ8,NP40,ollama/KVQ8/NP40/qwen3-235b-a22b-q4_k_m_qwen3-32b-q8/results_avg.csv
3,qwen3-n40-c40000+qwen3-n40-c16000,qwen3-235b-a22b:q4_k_m,40,40000,0,1,0,not_loaded,False,0.0,0.0,0.0,,,208.0,0.0,26.7,,,,,,,,,,,,,,,0.0,0.0,,,,,0,0,not_resident: qwen3-235b-a22b:q4_k_m,KVQ8,NP40,ollama/KVQ8/NP40/qwen3-235b-a22b-q4_k_m_qwen3-32b-q8/results_avg.csv
3,qwen3-n40-c40000+qwen3-n40-c16000,qwen3:32b-q8,40,16000,0,1,0,not_run,False,208.0,0.0,208.0,100.0,0.0,208.0,0.0,18.8,16000.0,,,,,,,,,,,,,,0.0,0.0,,,,,0,0,not_resident: qwen3-235b-a22b:q4_k_m,KVQ8,NP40,ollama/KVQ8/NP40/qwen3-235b-a22b-q4_k_m_qwen3-32b-q8/results_avg.csv
4,qwen3-n40-c40000+qwen3-n40-c40000,qwen3-235b-a22b:q4_k_m,40,40000,0,1,0,not_loaded,False,0.0,0.0,0.0,,,462.0,0.0,26.4,,,,,,,,,,,,,,,0.0,0.0,,,,,0,0,not_resident: qwen3-235b-a22b:q4_k_m,KVQ8,NP40,ollama/KVQ8/NP40/qwen3-235b-a22b-q4_k_m_qwen3-32b-q8/results_avg.csv
4,qwen3-n40-c40000+qwen3-n40-c40000,qwen3:32b-q8,40,40000,0,1,0,not_run,False,462.0,0.0,462.0,100.0,0.0,462.0,0.0,18.6,40000.0,,,,,,,,,,,,,,0.0,0.0,,,,,0,0,not_resident: qwen3-235b-a22b:q4_k_m,KVQ8,NP40,ollama/KVQ8/NP40/qwen3-235b-a22b-q4_k_m_qwen3-32b-q8/results_avg.csv
1,deepseek-n40-c32000,deepseek-v3.1-terminus:q4_k_m,40,32000,0,2,2,ok,True,499.6,0.0,499.6,100.0,0.0,499.6,0.0,39.3,32000.0,39.5,7.1,32.9,4.4,114.4,3.2,11.9,3.9,50.7,50.8,5814.5,107.7,35.7,55.6,0.0,2.1,1.9,0.1,19.1,80,0,,KVQ8,NP40,ollama/KVQ8/NP40/deepseek-v3.1-terminus-q4_k_m/results_avg.csv
2,deepseek-n40-c64000,deepseek-v3.1-terminus:q4_k_m,40,64000,0,2,0,cpu_offload,False,585.5,402.7,988.2,59.2,40.8,585.5,402.7,74.0,64000.0,,,,,,,,,,,,,,104.6,0.0,,,,,0,0,cpu_offload: deepseek-v3.1-terminus:q4_k_m=402.72GB/40.8% on CPU,KVQ8,NP40,ollama/KVQ8/NP40/deepseek-v3.1-terminus-q4_k_m/results_avg.csv
3,deepseek-n40-c125k,deepseek-v3.1-terminus:q4_k_m,40,128000,0,2,0,cpu_offload,False,579.4,404.8,984.2,58.9,41.1,579.4,404.8,76.8,128000.0,,,,,,,,,,,,,,108.6,0.0,,,,,0,0,cpu_offload: deepseek-v3.1-terminus:q4_k_m=404.81GB/41.1% on CPU,KVQ8,NP40,ollama/KVQ8/NP40/deepseek-v3.1-terminus-q4_k_m/results_avg.csv
1,qwen3-n40-c16000,qwen3:32b-q8,40,16000,0,3,3,ok,True,208.0,0.0,208.0,100.0,0.0,208.0,0.0,5.3,16000.0,26.3,2.8,23.9,18.5,504.3,1.7,3.6,15.1,35.7,34.5,17353.3,392.1,36.7,9.3,0.0,1.6,1.7,0.2,18.4,120,0,,KVQ8,NP40,ollama/KVQ8/NP40/qwen3-32b-q8/results_avg.csv
2,qwen3-n40-c40000,qwen3:32b-q8,40,40000,0,3,3,ok,True,462.0,0.0,462.0,100.0,0.0,462.0,0.0,5.5,40000.0,27.2,3.1,24.9,18.1,485.2,1.2,4.0,14.0,36.0,36.1,17503.3,396.4,36.1,9.6,0.0,1.7,1.4,0.1,12.0,120,0,,KVQ8,NP40,ollama/KVQ8/NP40/qwen3-32b-q8/results_avg.csv
